,name,lobby_image_right,lobby_image_left,small_img,ban_img,voice
Maokai,마오카이,http://39.118.174.168:8000/champ_image/right/마오카이.png,http://39.118.174.168:8000/champ_image/left/마오카이.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Maokai.png,http://39.118.174.168:8000/champ_image/long_image_noColor/마오카이.jpg,Maokai.mp3
Malzahar,말자하,http://39.118.174.168:8000/champ_image/right/말자하.png,http://39.118.174.168:8000/champ_image/left/말자하.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Malzahar.png,http://39.118.174.168:8000/champ_image/long_image_noColor/말자하.jpg,Malzahar.mp3
Malphite,말파이트,http://39.118.174.168:8000/champ_image/right/말파이트.png,http://39.118.174.168:8000/champ_image/left/말파이트.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Malphite.png,http://39.118.174.168:8000/champ_image/long_image_noColor/말파이트.jpg,Malphite.mp3
Mordekaiser,모데카이저,http://39.118.174.168:8000/champ_image/right/모데카이저.png,http://39.118.174.168:8000/champ_image/left/모데카이저.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Mordekaiser.png,http://39.118.174.168:8000/champ_image/long_image_noColor/모데카이저.jpg,Mordekaiser.mp3
Morgana,모르가나,http://39.118.174.168:8000/champ_image/right/모르가나.png,http://39.118.174.168:8000/champ_image/left/모르가나.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Morgana.png,http://39.118.174.168:8000/champ_image/long_image_noColor/모르가나.jpg,Morgana.mp3
DrMundo,문도 박사,http://39.118.174.168:8000/champ_image/right/문도 박사.png,http://39.118.174.168:8000/champ_image/left/문도 박사.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/DrMundo.png,http://39.118.174.168:8000/champ_image/long_image_noColor/문도 박사.jpg,DrMundo.mp3
MissFortune,미스 포츈,http://39.118.174.168:8000/champ_image/right/미스 포츈.png,http://39.118.174.168:8000/champ_image/left/미스 포츈.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/MissFortune.png,http://39.118.174.168:8000/champ_image/long_image_noColor/미스 포츈.jpg,MissFortune.mp3
Bard,바드,http://39.118.174.168:8000/champ_image/right/바드.png,http://39.118.174.168:8000/champ_image/left/바드.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Bard.png,http://39.118.174.168:8000/champ_image/long_image_noColor/바드.jpg,Bard.mp3
Varus,바루스,http://39.118.174.168:8000/champ_image/right/바루스.png,http://39.118.174.168:8000/champ_image/left/바루스.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Varus.png,http://39.118.174.168:8000/champ_image/long_image_noColor/바루스.jpg,Varus.mp3
Vi,바이,http://39.118.174.168:8000/champ_image/right/바이.png,http://39.118.174.168:8000/champ_image/left/바이.png,http://ddragon.leagueoflegends.com/cdn/11.3.1/img/champion/Vi.png,http://39.118.174.168:8000/champ_image/long_image_noColor/바이.jpg,Vi.mp3
